Category,Resume
Data Science,skill programming language python panda numpy scipy scikit learn matplotlib sql java javascript jquery machine learning regression svm na ve bayes knn random forest decision tree boosting technique cluster analysis word embedding sentiment analysis natural language processing dimensionality reduction topic modelling lda nmf pca neural net database visualization mysql sqlserver cassandra hbase elasticsearch d3 j dc j plotly kibana matplotlib ggplot tableau others regular expression html cs angular 6 logstash kafka python flask git docker computer vision open cv understanding of deep learning education detail data science assurance associate data science assurance associate ernst young llp skill detail javascript exprience 24 month jquery exprience 24 month python exprience 24 monthscompany detail company ernst young llp description fraud investigation dispute service assurance technology assisted review tar technology assisted review assist in accelerating review process run analytics generate report core member of team helped in developing automated review platform tool from scratch for assisting e discovery domain this tool implement predictive coding topic modelling by automating review resulting in reduced labor cost time spent during lawyer review understand end to end flow of solution doing research development for classification model predictive analysis mining of information present in text data worked on analyzing output precision monitoring for entire tool tar assist in predictive coding topic modelling from evidence by following ey standard developed classifier model in order to identify red flag fraud related issue tool technology python scikit learn tfidf word2vec doc2vec cosine similarity na ve bayes lda nmf for topic modelling vader text blob for sentiment analysis matplot lib tableau dashboard for reporting multiple data science analytic project usa client text analytics motor vehicle customer review data received customer feedback survey data for past one year performed sentiment positive negative neutral time series analysis on customer comment across all 4 category created heat map of term by survey category based on frequency of word extracted positive negative word across all survey category plotted word cloud created customized tableau dashboard for effective reporting visualization chatbot developed user friendly chatbot for one of our product which handle simple question about hour of operation reservation option so on this chat bot serf entire product related question giving overview of tool via qa platform also give recommendation response so that user question to build chain of relevant answer this too ha intelligence to build pipeline of question a per user requirement asks relevant recommended question tool technology python natural language processing nltk spacy topic modelling sentiment analysis word embedding scikit learn javascript jquery sqlserver information governance organization to make informed decision about all of information they store integrated information governance portfolio synthesizes intelligence across unstructured data source facilitates action to ensure organization best positioned to counter information risk scan data from multiple source of format parse different file format extract meta data information push result for indexing elastic search created customized interactive dashboard using kibana preforming rot analysis on data which give information of data which help identify content that either redundant outdated trivial preforming full text search analysis on elastic search with predefined method which can tag a pii personally identifiable information social security number address name etc which frequently targeted during cyber attack tool technology python flask elastic search kibana fraud analytic platform fraud analytics investigative platform to review all red flag case fap fraud analytics investigative platform with inbuilt case manager suite of analytics for various erp system it can used by client to interrogate their accounting system for identifying anomaly which can indicator of fraud by running advanced analytics tool technology html javascript sqlserver jquery cs bootstrap node j d3 j dc j
Data Science,education detail may 2013 to may 2017 b e uit rgpv data scientist data scientist matelabs skill detail python exprience less than 1 year month statsmodels exprience 12 month aws exprience less than 1 year month machine learning exprience less than 1 year month sklearn exprience less than 1 year month scipy exprience less than 1 year month kera exprience less than 1 year monthscompany detail company matelabs description ml platform for business professional dummy enthusiast 60 koramangala 5th block achievement task behind sukh sagar bengaluru india developed deployed auto preprocessing step of machine learning mainly missing value treatment outlier detection encoding scaling feature selection dimensionality reduction deployed automated classification regression model linkedin com in aditya rathore b4600b146 reasearch deployed time series forecasting model arima sarimax holt winter prophet worked on meta feature extracting problem github com rathorology implemented state of art research paper on outlier detection for mixed attribute company matelabs description
Data Science,area of interest deep learning control system design programming in python electric machinery web development analytics technical activity q hindustan aeronautics limited bangalore for 4 week under guidance of mr satish senior engineer in hangar of mirage 2000 fighter aircraft technical skill programming matlab python java labview python webframework django flask ltspice intermediate language mipower intermediate github gitbash jupyter notebook xampp mysql basic python software package interpreter anaconda python2 python3 pycharm java ide eclipse operating system window ubuntu debian kali linux education detail january 2019 b tech electrical electronics engineering manipal institute of technology january 2015 deeksha center january 2013 little flower public school august 2000 manipal academy of higher data science data science electrical enthusiast skill detail data analysis exprience less than 1 year month excel exprience less than 1 year month machine learning exprience less than 1 year month mathematics exprience less than 1 year month python exprience less than 1 year month matlab exprience less than 1 year month electrical engineering exprience less than 1 year month sql exprience less than 1 year monthscompany detail company themathcompany description i am currently working with casino based operator name not to disclosed in macau i need to segment customer who visit their property based on value patron bring into company basically prove that segmentation can done in much better way than current system which they have with proper number to back it up henceforth they can implement target marketing strategy to attract their customer who add value to business
Data Science,skill r python sap hana tableau sap hana sql sap hana pal m sql sap lumira c linear programming data modelling advance analytics scm analytics retail analytics social medium analytics nlp education detail january 2017 to january 2018 pgdm business analytics great lake institute of management illinois institute of technology january 2013 bachelor of engineering electronics communication bengaluru karnataka new horizon college of engineering bangalore visvesvaraya technological university data science consultant consultant deloitte usi skill detail linear programming exprience 6 month retail exprience 6 month retail marketing exprience 6 month scm exprience 6 month sql exprience less than 1 year month deep learning exprience less than 1 year month machine learning exprience less than 1 year month python exprience less than 1 year month r exprience less than 1 year monthscompany detail company deloitte usi description project involved analysing historic deal coming with insight to optimize future deal role given raw data carried out end to end analysis presented insight to client key responsibility extract data from client system across geography understand build report in tableau infer meaningful insight to optimize price find out process blockade technical environment r tableau industry cross industry service area cross industry product project name handwriting recognition consultant 3 month project involved taking handwritten image converting them to digital text image by object detection sentence creation role i developing sentence correction functionality key responsibility gather data large enough to capture all english word train lstm model on word technical environment python industry finance service area financial service bi development project name swift consultant 8 month project to develop analytics infrastructure on top of sap s 4 it would user to view financial report to respective department reporting also included forecasting expense role i leading offshore team key responsibility design develop data model for reporting develop etl for data flow validate various report technical environment sap hana tableau sap ao industry healthcare analytics service area life science product development project name clinical healthcare system consultant 2 month project to develop analytics infrastructure on top of argus it would allow user to query faster provide advance analytics capability role i involved from design to deploy phase performed lot of data restructuring built model for insight key responsibility design develop data model for reporting develop deploy analytical model validate various report technical environment data modelling sap hana tableau nlp industry fmcg service area trade promotion project name consumption based planning for flower food consultant 8 month project involved setting up of crm cbp module role i involved in key data decomposition activity setting up base for future year forecast over course of project i developed various model carried out key performance improvement key responsibility design develop hana model for decomposition develop data flow for forecast developed various view for reporting of customer sale fund validate various report in bobj technical environment data modelling sap hana bobj time series forecasting internal initiative industry fmcg customer segmentation rfm analysis consultant 3 month initiative involved setting up of hana python interface advance analytics on python over course i had successfully segmented data into five core segment using k mean carried out rfm analysis in python also developed algorithm to categorize any new customer under defined bucket technical environment anaconda3 python3 6 hana sps12 industry telecom invoice state detection consultant 1 month initiative to reduce manual effort in verifying closed open invoice manually it involved development to decision tree to classify open closed invoice this enabled effort reduction by 60 technical environment r sap pal sap hana sps12 accenture experience industry analytics cross industry in process analytics for sap senior developer 19 month accenture solution pvt ltd india project involved development of sap analytics tool in process analytics ipa my role to develop database object data model to provide operational insight to client role i have developed various finance related kpis spearheaded various deployment introduced sap predictive analytics to reduce development time reuse functionality for kpis prepared production planning report key responsibility involved in information gather phase designed implemented sap hana data modelling using attribute view analytic view calculation view developed various kpi s individually using complex sql script in calculation view created procedure in hana database took ownership developed dashboard functionality involved in building data processing algorithm to executed in r server for cluster analysis technical environment r sap hana t sql industry cross industry accenture testing accelerator for sap database developer 21 month accenture solution pvt ltd india role i have taken care of all development activity for atas tool have also completed various deployment of product apart from these activity i also actively involved in maintenance of database server production quality key responsibility analyzing business requirement understanding scope getting requirement clarified interacting with business further transform all requirement to generate attribute mapping document reviewing mapping specification documentation create update database object like table view stored procedure function package monitored sql server error log application log through sql server agent prepared data flow diagram entity relationship diagram using uml responsible for designing developing normalization of database table experience in performance tuning using sql profiler involved in qa uat knowledge transfer support activity technical environment sql server 2008 2014 visual studio 2010 window server performance monitor sql server profiler c pl sql t sql
Data Science,education detail mca ymcaust faridabad haryana data science internship skill detail data structure exprience less than 1 year month c exprience less than 1 year month data analysis exprience less than 1 year month python exprience less than 1 year month core java exprience less than 1 year month database management exprience less than 1 year monthscompany detail company itechpower description
Data Science,skill c basic iot python matlab data science machine learning html microsoft word microsoft excel microsoft powerpoint recognition academic secured first place in b tech education detail august 2014 to may 2018 b tech ghatkesar andhra pradesh aurora s scientific technological institute june 2012 to may 2014 secondary education warangal telangana sr junior college data science skill detail m office exprience less than 1 year month c exprience less than 1 year month machine learning exprience less than 1 year month data science exprience less than 1 year month matlab exprience less than 1 year monthscompany detail company description
Data Science,skill python tableau data visualization r studio machine learning statistic iabac certified data scientist with versatile experience over 1 year in managing business data science consulting leading innovation project bringing business idea to working real world solution being strong advocator of augmented era where human capability enhanced by machine fahed passionate about bringing business concept in area of machine learning ai robotics etc to real life solution education detail january 2017 b tech computer science engineering mohali punjab indo global college of engineering data science consultant data science consultant datamites skill detail machine learning exprience 13 month python exprience 24 month solution exprience 24 month data science exprience 24 month data visualization exprience 24 month tableau exprience 24 monthscompany detail company datamites description analyzed processed complex data set using advanced querying visualization analytics tool responsible for loading extracting validation of client data worked on manipulating cleaning processing data using python used tableau for data visualization company heretic solution pvt ltd description worked closely with business to identify issue used data to propose solution for effective decision making manipulating cleansing processing data using python excel r analyzed raw data drawing conclusion developing recommendation used machine learning tool statistical technique to produce solution to problem
Data Science,education detail b tech rayat bahra institute of engineering biotechnology data science data science skill detail numpy exprience less than 1 year month machine learning exprience less than 1 year month tensorflow exprience less than 1 year month scikit exprience less than 1 year month python exprience less than 1 year month gcp exprience less than 1 year month panda exprience less than 1 year month neural network exprience less than 1 year monthscompany detail company wipro description bhawana aggarwal phone 09876971076 vversatile high energy professional targeting challenging assignment in machine profile summary it professional with knowledge experience of 2 year in wipro technology in machine learning deep learning data science python software development skilled in managing end to end development software product project from inception requirement spec planning designing implementation configuration documentation knowledge on python machine learning deep learning data science algorithm neural network nlp gcp knowledge on python library like numpy panda seaborn matplotlib cufflink knowledge on different algorithm in machine learning like knn decision tree bias variance trade off support vector machine svm logistic regression neural network have knowledge on unsupervised supervised reinforcement data programming experience in relational platform like mysql oracle have knowledge on some programming language like c java experience in cloud based environment like google cloud working on different operating system like linux ubuntu window good interpersonal communication skill problem solving skill with ability to think laterally to think with medium term long term perspective flexibility open attitude to change ability to create define own framework with strong emphasis on code reusability technical skill programming language python c library seaborn numpy panda cufflink matplotlib algorithm knn decision tree linear regression logistic regression neural network k mean clustering tensorflow svm database sql oracle operating system linux window development environment netbeans notebook sublime ticketing tool service now remedy education ug education b tech computer science from rayat bahra institute of engineering biotechnology passed with 78 4 in 2016 schooling xii in 2012 from moti ram arya sr secondary school passed with 78 4 x in 2010 from valley public school passed with 9 4 cgpa work experince title wipro neural intelligence platform team size 5 brief wipro s neural intelligence platform harness power of automation artificial intelligence technology natural language processing nlp cognitive machine learning analytics platform comprises three layer data engagement platform that can easily access manage multiple structured unstructured data source intent assessment reasoning engine that includes sentiment predictive analytics deep machine learning engine that can sense act learn over time project entailed automating response to user query at earliest monster bot using power of deep machine learning nlp to handle such query user can see how their query can answered quickly like alll1 activity can eliminated entity extractor this involves text extraction nlp for fetching out important information from text like date name place contact number etc this involves regex bluemix nlu api s machine learning using tensor flow for further learning of new entity classifier this involves classification of class training of dataset predicting output using sklearn classifier mnb svm sgd a classifier sgd for optimization to map user query with best suited response make system efficient ner deep learning ner model trained to extract entity from text entity like role skill organization can extracted from raw text rnn lstm bidirectional model trained for extracting such entity using kera tensorflow framework other project title diabetes detection brief developed software which can detect whether person suffering from diabetes not got third prize in it training certification title python training machine learning data science deep learning organization udemy coursera machine learning deep learning personal profile father s name mr tirlok aggarwal language known english hindi marital status single date of birth gender 1993 12 20 yyyy mm dd f company wipro description developing program in python company wipro description title wipro neural intelligence platform team size 5 brief wipro s neural intelligence platform harness power of automation artificial intelligence technology natural language processing nlp cognitive machine learning analytics platform comprises three layer data engagement platform that can easily access manage multiple structured unstructured data source intent assessment reasoning engine that includes sentiment predictive analytics deep machine learning engine that can sense act learn over time project entailed automating response to user query at earliest monster bot using power of deep machine learning nlp to handle such query user can see how their query can answered quickly like alll1 activity can eliminated entity extractor this involves text extraction nlp for fetching out important information from text like date name place contact number etc this involves regex bluemix nlu api s machine learning using tensor flow for further learning of new entity classifier this involves classification of class training of dataset predicting output using sklearn classifier mnb svm sgd a classifier sgd for optimization to map user query with best suited response make system efficient ner deep learning ner model trained to extract entity from text entity like role skill organization can extracted from raw text rnn lstm bidirectional model trained for extracting such entity using kera tensorflow framework company wipro technology description it professional with knowledge experience of 2 year in wipro technology in machine learning deep learning data science python software development skilled in managing end to end development software product project from inception requirement spec planning designing implementation configuration documentation knowledge on python machine learning deep learning data science algorithm neural network nlp gcp knowledge on python library like numpy panda seaborn matplotlib cufflink knowledge on different algorithm in machine learning like knn decision tree bias variance trade off support vector machine svm logistic regression neural network have knowledge on unsupervised supervised reinforcement data programming experience in relational platform like mysql oracle have knowledge on some programming language like c java experience in cloud based environment like google cloud working on different operating system like linux ubuntu window good interpersonal communication skill problem solving skill with ability to think laterally to think with medium term long term perspective flexibility open attitude to change ability to create define own framework with strong emphasis on code reusability
Data Science,personal skill ability to quickly grasp technical aspect willingness to learn high energy level result oriented education detail january 2018 master of engineering computer technology application bhopal madhya pradesh truba institute of engineering information technology january 2010 b e computer science bhopal madhya pradesh rkdf institute of science technology college of engineering january 2006 polytechnic information technology vidisha madhya pradesh sati engineering college in vidisha january 2003 m tech thesis detail bmch school in ganj basoda data science i have six month experience in data science key skill experience in machine learning deep leaning nlp python sql web scraping good knowledge in computer subject ability to update skill detail experience in machine learning deep learning nlp python sql web crawling html cs exprience less than 1 year monthscompany detail company rnt ai technology solution description text classification using machine learning algorithm with python practical knowledge of deep learning algorithm such a recurrent neural network rnn develop custom data model algorithm to apply to dataset experience with python package like panda scikit learn tensor flow numpy matplotliv nltk comfort with sql mysql sentiment analysis apply leave dataset using classification technique like tf idf lsa with cosine similarity using machine learning algorithm web crawling using selenium web driver beautiful soup with python company life insurance corporation of india bhopal description explaining policy feature benefit updated knowledge of life insurance product shared with customer
Data Science,expertise data quantitative analysis decision analytics predictive modeling data driven personalization kpi dashboard big data query interpretation data mining visualization tool machine learning algorithm business intelligence bi research report forecast education detail pgp in data science mumbai maharashtra aegis school of data science business b e in electronics communication electronics communication indore madhya pradesh y ip academy data scientist data scientist with pr canada skill detail algorithm exprience 6 month bi exprience 6 month business intelligence exprience 6 month machine learning exprience 24 month visualization exprience 24 month spark exprience 24 month python exprience 36 month tableau exprience 36 month data analysis exprience 24 monthscompany detail company aegis school of data science business description mostly working on industry project for providing solution along with teaching appointment teach undergraduate graduate level course in spark machine learning a adjunct faculty member at aegis school of data science mumbai 2017 to present company aegis school of data business description data science intern nov 2015 to jan 2016 furnish executive leadership team with insight analytics report recommendation enabling effective strategic planning across all business unit distribution channel product line chat bot using aws lex tensor flow python goal of project creates chat bot for academic institution university to handle query related course offered by that institute objective of this task to reduce human effort a well a reduce man made error even by this company handle their client 24x7 in this case company academic institution client participant student web scraping using selenium web driver python task to scrap data from online messaging portal in text format have to find pattern form it data visualization data insight hadoop eco system hive pyspark qliksense goal of this project to build business solution to internet service provider company like handling data which generated per day basis for that we have to visualize that data find usage pattern form it have generate report image based fraud detection microsoft face api pyspark open cv main goal of project recognize similarity for face to given database image face recognition recognizing special face from set of different face face extracted then compared with database image if that image recognized then person already applied for loan from somewhere else now hiding his her identity this how we going to prevent fraud in initial stage itself churn analysis for internet service provider r python machine learning hadoop objective to identify customer who likely to churn in given period of time we have to pretend customer giving incentive offer sentiment analysis python nlp apache spark service in ibm bluemix this project highly emphasis on tweet from twitter data taken for mobile network service provider to do sentiment analysis analyze whether expressed opinion positive negative neutral capture emotion of tweet comparative analysis quantifiable result mentored 7 12 data science enthusiast each year that have all since gone on to graduate school in data science business analytics reviewed evaluated 20 40 research paper on data science for one of largest data science conference called data science congress by aegis school of business mumbai heading solution providing organization called data science delivered into aegis school of data science mumbai managed 4 5 live project using data science technique working for some social cause with help of data science for social good committee where our team developed product called let s find missing child for helping society company ibm india pvt ltd description mostly worked on blumix ibm watson for data science
